lecture_id,concept_disagreement,triple_disagreement
Lecture 1,9,1.1
Lecture 10,5.54,0.56
Lecture 11,8.9375,1.296875
Lecture 12,8.5,1.22
Lecture 13,7.36,0.58
Lecture 14,9.05,1.466666667
Lecture 15,10.83333333,1.366666667
Lecture 16,7.218181818,1.381818182
Lecture 17,8.563636364,1.236363636
Lecture 18,8.163636364,1.290909091
Lecture 19,5.381818182,0.6
Lecture 2,10.38,1.3
Lecture 20,5.254545455,1.036363636
Lecture 21,7.302325581,1.139534884
Lecture 22,7.488888889,1.155555556
Lecture 23,6.68,1.12
Lecture 3,9.95,1.4
Lecture 4,9.183673469,1.428571429
Lecture 5,3.58,0.4
Lecture 6,6.571428571,1.5
Lecture 7,8.617021277,0.765957447
Lecture 8,8.139534884,0.674418605
Lecture 9,9.517241379,1.448275862
