lecture,num_slides,avg_concepts_model1,avg_concepts_model2,avg_concepts_model3,avg_concepts_model4,avg_triples_model1,avg_triples_model2,avg_triples_model3,avg_triples_model4,concept_disagreement,triple_disagreement
Lecture 1,50,4.08,2.58,1.84,2.26,0.88,0.08,0.1,0.08,4.02,0.98
Lecture 10,50,0.3,2.08,1.26,2.38,0.22,0.08,0.14,0.12,3.24,0.52
Lecture 11,64,3.9375,1.953125,1.3125,2.96875,0.8125,0.21875,0.046875,0.25,4.0625,1.046875
Lecture 12,50,4.28,1.74,1.26,2.38,0.76,0.18,0.08,0.2,4.38,0.98
Lecture 13,50,0.0,2.92,1.78,3.6,0.0,0.06,0.3,0.22,4.38,0.54
Lecture 14,60,3.6333333333333333,2.6666666666666665,1.6333333333333333,2.8833333333333333,0.85,0.21666666666666667,0.23333333333333334,0.2833333333333333,3.9166666666666665,1.1333333333333333
Lecture 15,30,4.366666666666666,3.533333333333333,1.5333333333333334,3.8666666666666667,0.8333333333333334,0.13333333333333333,0.4666666666666667,0.13333333333333333,4.966666666666667,1.0333333333333334
Lecture 16,55,3.4545454545454546,2.018181818181818,1.3454545454545455,1.8545454545454545,0.7454545454545455,0.23636363636363636,0.10909090909090909,0.2909090909090909,3.327272727272727,1.0545454545454545
Lecture 17,55,3.8363636363636364,2.727272727272727,1.3818181818181818,2.963636363636364,0.7090909090909091,0.18181818181818182,0.16363636363636364,0.18181818181818182,3.6545454545454548,0.9818181818181818
Lecture 18,55,4.036363636363636,2.7636363636363637,1.2727272727272727,2.7818181818181817,0.7454545454545455,0.2545454545454545,0.09090909090909091,0.23636363636363636,4.109090909090909,1.1090909090909091
Lecture 19,55,0.0,1.7636363636363637,1.4545454545454546,2.581818181818182,0.0,0.2,0.14545454545454545,0.2727272727272727,3.0545454545454547,0.5272727272727272
Lecture 2,50,5.04,3.38,1.54,3.58,0.72,0.04,0.2,0.38,5.06,1.02
Lecture 20,55,1.8181818181818181,1.2727272727272727,1.0727272727272728,1.709090909090909,0.6181818181818182,0.2909090909090909,0.01818181818181818,0.14545454545454545,1.309090909090909,0.8727272727272727
Lecture 21,43,3.511627906976744,1.2093023255813953,1.0232558139534884,2.13953488372093,0.6511627906976745,0.3023255813953488,0.0,0.20930232558139536,3.5348837209302326,0.9534883720930233
Lecture 22,45,3.111111111111111,1.9111111111111112,1.1777777777777778,2.3333333333333335,0.8,0.17777777777777778,0.06666666666666667,0.17777777777777778,3.488888888888889,0.8888888888888888
Lecture 23,50,2.34,1.76,1.06,2.16,0.74,0.08,0.08,0.22,2.7,1.0
Lecture 3,40,4.375,3.2,2.2,4.125,1.1,0.025,0.3,0.0,4.95,1.25
Lecture 4,49,4.36734693877551,3.326530612244898,1.4489795918367347,2.63265306122449,1.0612244897959184,0.08163265306122448,0.16326530612244897,0.14285714285714285,4.387755102040816,1.2653061224489797
Lecture 5,50,0.0,1.5,1.16,1.34,0.0,0.2,0.1,0.1,1.7,0.32
Lecture 6,42,3.6904761904761907,2.238095238095238,1.2380952380952381,0.0,1.2380952380952381,0.09523809523809523,0.21428571428571427,0.0,4.0476190476190474,1.2619047619047619
Lecture 7,47,4.872340425531915,2.3191489361702127,1.0638297872340425,2.3617021276595747,0.5319148936170213,0.0851063829787234,0.0,0.14893617021276595,4.51063829787234,0.6808510638297872
Lecture 8,43,4.5813953488372094,1.744186046511628,0.9302325581395349,2.5348837209302326,0.4186046511627907,0.046511627906976744,0.06976744186046512,0.13953488372093023,4.3023255813953485,0.6046511627906976
Lecture 9,29,4.655172413793103,2.689655172413793,1.5172413793103448,2.896551724137931,0.9310344827586207,0.1724137931034483,0.13793103448275862,0.20689655172413793,4.655172413793103,1.2758620689655173
